Key,Type,Created,Ready for QA,In QA,Ready for Signoff,Done
VD-8537,Bug,2020-05-22,2020-05-28,,,2020-06-05
VD-8536,Bug,2020-05-22,2020-06-01,2020-06-02,,2020-06-02
VD-8535,Bug,2020-05-22,2020-06-01,2020-06-02,,2020-06-02
VD-8529,Story,2020-05-26,2020-05-27,2020-06-09,2020-07-07,2020-07-07
VD-8528,Story,2020-05-26,,,,
VD-8527,Bug,2020-05-22,2020-05-25,2020-05-26,,2020-05-27
VD-8526,Bug,2020-05-22,2020-06-05,2020-06-09,2020-06-09,2020-06-09
VD-8523,Bug,2020-05-21,2020-05-22,2020-05-24,,2020-05-24
VD-8522,Story,2020-05-21,2020-06-04,2020-06-08,2020-06-09,2020-06-09
VD-8521,Story,2020-05-21,2020-06-10,2020-06-22,2020-06-23,2020-06-23
VD-8520,Bug,2020-05-21,2020-06-01,2020-06-02,2020-06-02,2020-06-08
VD-8519,Bug,2020-05-21,,,,2020-06-22
VD-8518,Bug,2020-05-21,,,,2020-05-25
VD-8517,Bug,2020-05-21,,,,2020-05-21
VD-8516,Bug,2020-05-21,,2020-06-03,,2020-06-15
VD-8515,Story,2020-05-22,,,,
VD-8514,Story,2020-05-21,2020-05-27,2020-05-27,2020-07-07,2020-07-07
VD-8513,Task,2020-05-21,2020-05-26,2020-06-05,2020-06-05,2020-06-22
VD-8501,Story,2020-05-21,,,2020-05-21,2020-05-26
VD-8493,Bug,2020-05-21,,2020-05-22,,2020-05-22
VD-8492,Task,2020-05-21,2020-05-21,2020-06-05,2020-06-08,2020-06-23
VD-8491,Bug,2020-05-21,2020-05-21,2020-05-22,,2020-05-22
VD-8489,Bug,2020-05-20,2020-05-26,2020-05-28,,2020-05-29
VD-8484,Bug,2020-05-20,2020-05-26,2020-05-29,,2020-05-29
VD-8481,Story,2020-05-20,2020-05-29,2020-06-01,2020-06-01,2020-06-02
VD-8480,Bug,2020-05-20,2020-05-28,2020-06-01,,2020-06-01
VD-8478,Task,2020-05-20,2020-06-01,2020-06-03,2020-06-04,2020-06-09
VD-8472,Bug,2020-05-20,2020-06-15,,,2020-06-16
VD-8471,Bug,2020-05-20,2020-05-26,2020-05-26,,2020-05-26
VD-8470,Bug,2020-05-20,2020-05-21,2020-05-21,,2020-05-22
VD-8449,Bug,2020-05-19,,2020-07-02,,2020-07-06
VD-8447,Bug,2020-05-19,2020-07-07,,,
VD-8446,Bug,2020-05-19,2020-06-29,,,
VD-8445,Task,2020-05-25,2020-06-15,2020-06-18,,2020-06-22
VD-8444,Task,2020-05-19,2020-06-26,,2020-07-01,2020-07-07
VD-8443,Bug,2020-05-19,,,,
VD-8440,Task,2020-06-16,,,,2020-07-02
VD-8439,Task,2020-07-06,2020-07-07,,2020-07-07,2020-07-07
VD-8437,Story,2020-05-19,,,2020-05-21,2020-05-26
VD-8436,Bug,2020-05-19,2020-05-26,2020-05-26,,2020-05-26
VD-8435,Bug,2020-05-19,2020-06-03,2020-06-04,,2020-06-12
VD-8434,Bug,2020-05-19,2020-05-26,2020-05-27,,2020-05-27
VD-8433,Bug,2020-05-19,,,,2020-05-27
VD-8432,Story,2020-05-19,2020-06-01,2020-06-08,2020-06-12,2020-06-17
VD-8431,Task,2020-05-19,2020-05-22,,2020-05-26,2020-06-09
VD-8430,Task,2020-05-19,2020-05-19,,2020-05-26,2020-06-09
VD-8429,Task,2020-05-19,2020-05-21,2020-05-22,2020-05-22,2020-05-22
VD-8428,Bug,2020-05-19,2020-05-21,2020-05-27,,2020-05-27
VD-8427,Story,2020-05-26,2020-07-06,,,
VD-8426,Story,2020-05-26,,,,
VD-8425,Story,2020-06-26,,,,
VD-8424,Task,2020-05-19,2020-06-17,2020-06-18,2020-07-06,2020-07-07
VD-8423,Story,2020-05-19,2020-05-19,,2020-05-20,2020-05-26
VD-8422,Bug,2020-05-19,2020-05-21,2020-05-22,,2020-05-25
VD-8421,Task,2020-05-18,2020-05-25,2020-06-15,2020-06-15,2020-06-23
VD-8420,Bug,2020-05-18,2020-05-21,,2020-05-22,2020-05-26
VD-8419,Story,2020-05-18,2020-06-02,2020-06-02,2020-06-02,2020-06-08
VD-8416,Bug,2020-05-18,2020-05-22,2020-05-25,,2020-05-25
VD-8415,Story,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-20
VD-8414,Bug,2020-05-18,2020-05-25,2020-05-26,,2020-06-01
VD-8413,Bug,2020-05-18,2020-05-28,2020-05-29,,2020-05-29
VD-8410,Story,2020-05-19,2020-06-01,2020-06-01,2020-06-02,2020-06-09
VD-8409,Story,2020-05-19,2020-06-01,2020-06-02,2020-06-08,2020-06-09
VD-8408,Story,2020-05-18,2020-06-01,,,
VD-8407,Bug,2020-05-18,,,,2020-05-26
VD-8406,Story,2020-05-18,2020-05-28,,,
VD-8405,Story,2020-05-18,2020-06-04,2020-06-15,2020-06-15,2020-06-15
VD-8404,Task,2020-05-17,2020-05-18,,2020-06-04,2020-06-22
VD-8401,Bug,2020-05-16,2020-05-17,2020-05-18,,2020-05-19
VD-8400,Bug,2020-05-16,2020-05-21,2020-05-22,,2020-05-22
VD-8399,Bug,2020-05-16,2020-05-18,2020-05-18,,2020-05-18
VD-8398,Bug,2020-05-16,,2020-05-21,,2020-06-08
VD-8396,Bug,2020-05-16,2020-05-18,2020-05-18,,2020-05-19
VD-8395,Bug,2020-05-16,2020-05-17,,,2020-05-18
VD-8394,Bug,2020-05-16,2020-05-18,2020-05-20,,2020-05-20
VD-8392,Bug,2020-05-16,2020-05-16,2020-05-16,,2020-05-16
VD-8391,Bug,2020-05-16,2020-05-16,2020-05-19,,2020-05-19
VD-8390,Bug,2020-05-15,2020-06-01,2020-06-02,,2020-06-02
VD-8389,Task,2020-05-15,2020-06-01,2020-06-03,2020-06-04,2020-06-09
VD-8388,Bug,2020-05-15,2020-05-16,2020-05-19,,2020-05-19
VD-8386,Bug,2020-05-15,2020-05-22,2020-05-25,,2020-05-26
VD-8384,Story,2020-05-15,2020-06-04,2020-06-05,2020-06-05,2020-06-23
VD-8371,Task,2020-05-15,2020-05-21,2020-05-22,2020-05-22,2020-06-09
VD-8366,Bug,2020-05-15,2020-05-17,2020-05-18,,2020-05-20
VD-8365,Bug,2020-05-15,,,,2020-05-18
VD-8363,Task,2020-05-15,2020-06-18,2020-06-18,2020-06-22,2020-06-22
VD-8361,Task,2020-05-15,2020-05-22,,2020-05-26,2020-06-09
VD-8359,Bug,2020-05-15,2020-05-20,,,2020-05-20
VD-8358,Bug,2020-05-15,,,,
VD-8356,Bug,2020-05-15,2020-05-26,2020-05-29,,2020-05-29
VD-8355,Bug,2020-05-15,2020-05-18,2020-05-20,,2020-05-29
VD-8341,Bug,2020-05-15,2020-05-26,2020-05-29,,2020-05-29
VD-8340,Bug,2020-05-15,2020-05-19,2020-05-19,,2020-05-19
VD-8339,Bug,2020-05-14,2020-05-15,2020-05-16,,2020-05-20
VD-8338,Task,2020-06-09,2020-07-02,,,
VD-8337,Bug,2020-05-14,2020-05-20,2020-05-20,,2020-05-20
VD-8336,Bug,2020-05-14,,2020-05-22,,2020-05-22
VD-8334,Bug,2020-05-14,2020-05-20,2020-05-21,,2020-05-21
VD-8333,Story,2020-05-14,,,2020-05-19,2020-05-20
VD-8332,Bug,2020-05-14,2020-05-20,2020-05-21,,2020-05-29
VD-8331,Task,2020-05-26,,,,2020-06-15
VD-8329,Story,2020-06-26,,,,
VD-8327,Bug,2020-05-14,2020-05-14,2020-05-19,,2020-05-19
VD-8326,Bug,2020-05-14,2020-06-17,2020-06-18,,2020-06-18
VD-8325,Story,2020-05-14,2020-06-03,2020-06-05,2020-06-16,2020-06-23
VD-8323,Story,2020-06-02,,,2020-06-02,2020-06-02
VD-8322,Bug,2020-05-14,2020-05-18,2020-05-18,2020-05-21,2020-05-26
VD-8321,Bug,2020-05-13,2020-05-15,,,2020-05-21
VD-8319,Task,2020-05-13,,,,2020-07-06
VD-8318,Task,2020-05-13,,,,
VD-8317,Task,2020-05-13,2020-05-13,,,2020-05-18
VD-8316,Bug,2020-05-13,2020-05-13,,,2020-05-18
VD-8315,Bug,2020-05-13,2020-05-14,,,2020-05-15
VD-8314,Bug,2020-05-13,2020-05-14,2020-05-16,,2020-05-16
VD-8313,Task,2020-05-13,,,,
VD-8312,Story,2020-05-13,2020-05-20,2020-05-27,2020-06-29,2020-07-06
VD-8311,Bug,2020-05-13,2020-05-13,,,2020-05-14
VD-8310,Story,2020-05-13,2020-05-14,2020-05-15,2020-05-18,2020-05-20
VD-8308,Story,2020-05-13,,,2020-05-13,2020-05-13
VD-8307,Bug,2020-05-13,2020-05-15,2020-05-18,,2020-05-21
VD-8306,Bug,2020-05-13,2020-05-13,,,2020-05-14
VD-8305,Bug,2020-05-12,2020-05-15,2020-05-22,2020-05-22,2020-05-22
VD-8304,Bug,2020-05-12,,,,2020-05-20
VD-8303,Story,2020-05-13,2020-06-15,2020-06-19,,
VD-8300,Bug,2020-05-12,2020-05-13,2020-05-19,,2020-05-19
VD-8299,Bug,2020-05-12,2020-05-20,,,2020-05-21
VD-8298,Story,2020-05-12,2020-05-13,2020-06-16,2020-07-06,2020-07-06
VD-8297,Bug,2020-05-12,2020-05-19,2020-05-19,,2020-05-19
VD-8296,Story,2020-05-12,,,2020-05-13,2020-05-13
VD-8294,Bug,2020-05-12,,,,2020-05-20
VD-8292,Bug,2020-05-12,,,,2020-05-20
VD-8291,Bug,2020-05-12,,,,2020-05-20
VD-8290,Task,2020-05-12,,2020-05-19,,2020-05-19
VD-8289,Bug,2020-05-12,2020-05-28,2020-05-28,,2020-05-29
VD-8288,Bug,2020-05-12,2020-05-14,2020-05-15,,2020-05-15
VD-8287,Story,2020-05-12,,,2020-05-13,2020-05-18
VD-8286,Bug,2020-05-12,2020-05-13,,,2020-05-13
VD-8285,Bug,2020-05-12,2020-05-20,2020-05-20,,2020-05-22
VD-8284,Bug,2020-05-12,,,,2020-05-18
VD-8282,Bug,2020-05-12,2020-05-13,,,2020-05-14
VD-8278,Bug,2020-05-12,,,,2020-05-18
VD-8277,Bug,2020-05-12,,,,
VD-8274,Story,2020-05-19,2020-05-29,,,2020-06-15
VD-8272,Bug,2020-05-12,2020-05-14,,,2020-05-14
VD-8270,Bug,2020-05-12,,,,2020-05-18
VD-8269,Bug,2020-05-12,2020-05-14,2020-05-20,,2020-05-29
VD-8267,Task,2020-05-12,,,,
VD-8259,Bug,2020-05-12,2020-05-14,2020-05-14,,2020-05-15
VD-8257,Bug,2020-05-12,2020-05-14,2020-05-16,,2020-05-18
VD-8253,Bug,2020-05-12,2020-05-20,2020-05-21,,2020-05-25
VD-8252,Bug,2020-05-12,2020-05-28,2020-05-28,,2020-05-29
VD-8249,Bug,2020-05-12,2020-05-21,2020-05-22,,2020-05-22
VD-8247,Bug,2020-05-12,2020-05-12,,,2020-05-13
VD-8245,Bug,2020-05-12,2020-05-13,2020-05-14,,2020-05-14
VD-8244,Story,2020-05-12,,,,
VD-8243,Bug,2020-05-12,2020-05-14,2020-05-20,,2020-05-20
VD-8241,Bug,2020-05-12,2020-05-13,,,2020-05-14
VD-8240,Bug,2020-05-12,2020-05-15,2020-05-20,,2020-05-20
VD-8238,Bug,2020-05-12,2020-05-15,2020-05-16,,2020-05-16
VD-8236,Story,2020-05-12,2020-06-05,2020-06-05,2020-06-08,2020-06-09
VD-8233,Bug,2020-05-12,2020-05-13,2020-05-13,,2020-05-13
VD-8232,Story,2020-05-12,,,,
VD-8231,Story,2020-05-12,,,,
VD-8230,Story,2020-05-12,,,,
VD-8229,Bug,2020-05-12,2020-05-22,2020-05-27,,2020-05-27
VD-8228,Bug,2020-05-11,2020-05-11,2020-05-18,,2020-05-19
VD-8227,Bug,2020-05-11,2020-05-11,2020-05-20,,2020-05-29
VD-8224,Task,2020-05-11,2020-06-08,2020-06-08,2020-07-07,2020-07-07
VD-8222,Story,2020-05-11,2020-05-12,2020-05-29,2020-06-01,2020-06-09
VD-8221,Bug,2020-05-11,2020-05-15,2020-05-19,,2020-05-19
VD-8219,Story,2020-05-11,2020-05-22,,2020-05-26,2020-06-09
VD-8218,Task,2020-05-11,2020-05-18,2020-05-26,2020-05-29,2020-06-01
VD-8216,Bug,2020-05-11,2020-05-15,2020-05-16,,2020-05-16
VD-8215,Story,2020-05-11,,,2020-05-12,2020-05-12
VD-8213,Task,2020-05-11,,,,2020-05-13
VD-8212,Task,2020-05-11,2020-06-08,2020-06-08,2020-07-07,2020-07-07
VD-8211,Task,2020-05-11,,,2020-05-11,2020-05-12
VD-8210,Story,2020-05-11,,,2020-05-22,2020-05-26
VD-8209,Task,2020-05-11,2020-05-22,2020-05-22,2020-06-17,2020-07-06
VD-8206,Story,2020-05-11,,,,
VD-8205,Story,2020-07-07,,,,
VD-8203,Task,2020-05-11,2020-05-13,2020-05-13,2020-05-15,2020-05-18
VD-8202,Story,2020-05-25,2020-05-26,2020-05-26,2020-05-26,2020-05-26
VD-8201,Story,2020-06-01,2020-06-19,2020-06-22,2020-06-30,2020-07-07
VD-8200,Story,2020-05-27,,,,
VD-8197,Bug,2020-05-08,2020-05-08,2020-05-08,,2020-05-13
VD-8195,Task,2020-05-27,2020-06-05,2020-06-15,,
VD-8194,Bug,2020-05-08,2020-05-20,2020-05-21,,2020-05-21
VD-8193,Bug,2020-05-08,2020-05-15,2020-05-20,,2020-05-20
VD-8192,Bug,2020-05-08,2020-05-20,,,2020-05-21
VD-8191,Story,2020-05-15,2020-05-19,2020-05-26,2020-05-26,2020-06-01
VD-8190,Task,2020-05-13,2020-05-22,2020-05-22,,2020-06-08
VD-8189,Task,2020-05-11,,,2020-05-11,2020-05-12
VD-8188,Bug,2020-05-08,2020-05-09,2020-05-09,,2020-05-12
VD-8186,Task,2020-05-08,2020-05-26,2020-06-09,2020-06-17,2020-06-23
VD-8184,Story,2020-05-27,2020-06-05,2020-06-26,2020-06-26,2020-06-26
VD-8182,Bug,2020-05-07,2020-05-11,,,2020-05-13
VD-8179,Story,2020-05-07,2020-05-19,2020-05-19,2020-05-20,2020-05-26
VD-8178,Story,2020-05-07,2020-05-14,2020-05-19,2020-05-19,2020-06-09
VD-8174,Story,2020-05-07,2020-05-29,2020-06-01,2020-06-02,2020-06-09
VD-8173,Bug,2020-05-07,2020-05-14,2020-05-20,,2020-05-22
VD-8172,Bug,2020-05-07,2020-05-08,2020-05-12,,2020-05-16
VD-8171,Bug,2020-05-07,2020-05-11,2020-05-12,,2020-05-12
VD-8170,Bug,2020-05-07,2020-05-12,2020-05-13,,2020-05-13
VD-8169,Story,2020-05-07,,,2020-05-08,2020-05-09
VD-8168,Bug,2020-05-07,2020-05-11,2020-05-15,,2020-05-20
VD-8167,Bug,2020-05-07,2020-05-12,2020-05-13,,2020-05-13
VD-8166,Bug,2020-05-07,2020-07-03,2020-07-03,,2020-07-03
VD-8165,Bug,2020-05-07,2020-05-12,2020-05-13,,2020-05-15
VD-8164,Story,2020-05-07,2020-05-13,2020-05-20,,2020-05-20
VD-8162,Bug,2020-05-07,2020-05-19,2020-05-21,2020-05-21,2020-05-21
VD-8161,Bug,2020-05-07,2020-05-26,2020-06-01,,2020-06-02
VD-8160,Story,2020-05-07,2020-05-12,2020-05-17,2020-05-22,2020-05-22
VD-8155,Story,2020-05-07,2020-05-07,2020-05-07,2020-05-07,2020-05-09
VD-8154,Story,2020-05-07,2020-05-13,2020-05-13,2020-05-13,2020-05-18
VD-8153,Task,2020-05-07,2020-05-08,2020-05-28,2020-05-28,2020-06-09
VD-8152,Bug,2020-05-07,,,,2020-05-21
VD-8151,Bug,2020-05-07,,2020-05-07,,2020-05-07
VD-8150,Bug,2020-05-07,2020-05-11,2020-05-12,,2020-05-12
VD-8149,Bug,2020-05-07,2020-05-11,,,2020-05-12
VD-8148,Bug,2020-05-07,,,,2020-05-08
VD-8146,Story,2020-05-07,,,,
VD-8145,Bug,2020-05-06,2020-05-07,,,2020-05-07
VD-8143,Bug,2020-05-06,2020-05-07,2020-05-07,,2020-05-08
VD-8141,Task,2020-05-08,,,,2020-06-03
VD-8140,Story,2020-05-06,,,,2020-05-07
VD-8137,Story,2020-05-13,2020-05-27,2020-06-17,2020-06-17,2020-06-22
VD-8136,Task,2020-05-06,2020-05-07,,,2020-05-19
VD-8135,Bug,2020-05-06,,,,2020-05-08
VD-8134,Task,2020-05-07,2020-05-12,2020-05-13,2020-05-29,2020-06-01
VD-8133,Bug,2020-05-06,2020-05-06,,,2020-05-06
VD-8132,Bug,2020-05-06,,2020-05-08,,2020-05-08
VD-8131,Task,2020-05-07,2020-05-29,2020-06-04,2020-06-05,2020-06-05
VD-8130,Bug,2020-05-06,2020-05-12,,,2020-05-14
VD-8129,Story,2020-05-06,2020-05-22,2020-05-25,2020-05-26,2020-05-26
VD-8128,Task,2020-05-06,2020-05-12,2020-05-13,2020-05-13,2020-06-09
VD-8125,Bug,2020-05-05,2020-05-08,,,2020-05-18
VD-8123,Story,2020-05-05,2020-07-03,2020-07-07,2020-07-07,
VD-8121,Story,2020-05-05,2020-05-08,2020-05-14,2020-05-20,2020-05-26
VD-8115,Story,2020-05-05,,,,
VD-8113,Bug,2020-05-05,2020-05-06,,,2020-05-12
VD-8111,Story,2020-05-05,2020-06-05,2020-06-09,2020-06-09,2020-06-09
VD-8110,Story,2020-05-05,2020-07-01,2020-07-01,2020-07-01,2020-07-06
VD-8108,Story,2020-05-05,,,2020-07-03,2020-07-06
VD-8107,Story,2020-05-05,,,2020-06-22,2020-06-23
VD-8105,Story,2020-05-05,,,2020-05-13,2020-05-22
VD-8104,Story,2020-05-05,,,2020-05-22,2020-05-26
VD-8103,Story,2020-05-05,,,,
VD-8102,Story,2020-05-05,,,,
VD-8101,Story,2020-05-05,,,,
VD-8100,Story,2020-05-05,,,,
VD-8099,Story,2020-05-05,,,,
VD-8096,Story,2020-05-05,,,,
VD-8095,Story,2020-05-05,,,,
VD-8094,Story,2020-05-05,,,,
VD-8093,Story,2020-05-05,,,,
VD-8091,Story,2020-05-05,,,,
VD-8090,Story,2020-05-05,,,,
VD-8089,Bug,2020-05-05,2020-05-06,2020-05-15,,2020-05-22
VD-8088,Story,2020-05-04,,,,
VD-8085,Task,2020-05-05,2020-05-11,2020-05-05,2020-06-08,2020-06-09
VD-8083,Bug,2020-05-04,,,,2020-06-22
VD-8081,Bug,2020-05-04,2020-05-05,2020-05-08,,2020-05-08
VD-8080,Bug,2020-05-04,,,,2020-05-06
VD-8079,Bug,2020-05-04,2020-05-22,2020-05-26,,2020-06-22
VD-8077,Bug,2020-05-04,2020-05-05,2020-05-11,,2020-05-11
VD-8076,Story,2020-05-04,,,2020-06-05,2020-06-08
VD-8075,Task,2020-06-23,,,,
VD-8074,Bug,2020-05-04,,,,2020-05-18
VD-8073,Story,2020-05-04,2020-05-27,2020-06-24,2020-07-07,2020-07-07
VD-8072,Task,2020-05-05,2020-05-22,2020-06-04,2020-06-08,2020-06-22
VD-8071,Bug,2020-05-04,2020-06-08,2020-06-17,,2020-06-17
VD-8070,Task,2020-05-04,2020-05-05,2020-05-05,2020-05-08,2020-05-12
VD-8069,Bug,2020-05-04,2020-05-05,2020-05-05,2020-05-06,2020-05-09
VD-8067,Story,2020-05-05,2020-05-06,2020-05-12,2020-05-12,2020-05-18
VD-8066,Task,2020-05-04,2020-05-13,2020-05-13,2020-05-28,2020-06-08
VD-8065,Story,2020-05-04,2020-05-06,2020-05-12,2020-05-12,2020-05-18
VD-8064,Story,2020-05-04,2020-05-13,2020-05-19,2020-05-26,2020-05-26
VD-8063,Task,2020-05-04,2020-05-12,,2020-05-12,2020-05-12
VD-8060,Bug,2020-05-04,,,,2020-05-06
VD-8058,Task,2020-05-04,,,,2020-05-06
VD-8057,Task,2020-05-04,,2020-05-07,,2020-05-07
VD-8054,Task,2020-05-03,2020-05-06,2020-05-07,2020-05-08,2020-05-12
VD-8052,Story,2020-05-14,,,,2020-05-19
VD-8051,Bug,2020-05-01,,,,
VD-8049,Story,2020-05-01,,,2020-05-19,2020-05-20
VD-8048,Story,2020-05-01,,2020-05-04,2020-05-21,2020-05-26
VD-8046,Story,2020-05-01,,,2020-05-21,2020-05-26
VD-8043,Bug,2020-04-30,2020-05-05,2020-05-06,,2020-05-06
VD-8042,Bug,2020-04-30,2020-05-05,,,2020-05-05
VD-8040,Story,2020-04-30,2020-05-07,2020-05-18,2020-06-09,2020-06-09
VD-8039,Story,2020-04-30,2020-05-04,2020-05-04,2020-05-04,2020-05-22
VD-8038,Bug,2020-04-30,2020-05-05,,,2020-05-05
VD-8037,Task,2020-04-30,2020-05-13,2020-05-28,2020-06-01,2020-06-09
VD-8036,Story,2020-04-30,,,,
VD-8035,Task,2020-04-30,2020-05-05,2020-05-13,2020-05-21,2020-06-09
VD-8034,Task,2020-04-30,,,,
VD-8033,Task,2020-04-30,2020-05-18,2020-07-01,2020-07-01,2020-07-07
VD-8031,Bug,2020-04-30,2020-04-30,2020-05-25,2020-05-25,2020-06-09
VD-8029,Story,2020-05-04,2020-06-11,,,
VD-8027,Task,2020-04-29,,,2020-06-19,2020-06-23
VD-8026,Task,2020-04-29,,,2020-05-12,2020-05-12
VD-8025,Story,2020-04-29,2020-05-04,2020-05-04,2020-05-05,2020-05-05
VD-8021,Story,2020-04-29,,,,
VD-8019,Story,2020-05-05,,,2020-06-22,2020-07-06
VD-8018,Bug,2020-04-29,2020-05-06,2020-05-06,,2020-05-12
VD-8017,Bug,2020-04-29,2020-05-05,,,2020-05-05
VD-8016,Story,2020-05-19,2020-06-30,,,
VD-8015,Task,2020-04-29,2020-05-06,2020-05-12,2020-05-12,2020-05-18
VD-8014,Bug,2020-04-29,2020-05-14,,,2020-05-18
VD-8011,Task,2020-04-29,2020-05-27,2020-06-24,2020-07-07,2020-07-07
VD-8010,Task,2020-04-29,2020-05-04,,,2020-05-07
VD-8009,Bug,2020-04-29,,,,2020-05-01
VD-8008,Task,2020-04-29,2020-04-30,2020-05-04,2020-05-04,2020-05-05
VD-8007,Bug,2020-04-29,2020-05-05,2020-05-06,,2020-05-06
VD-8006,Story,2020-04-29,2020-05-13,2020-05-17,2020-06-08,2020-06-09
VD-8005,Bug,2020-04-29,,,,2020-05-06
VD-8004,Story,2020-04-29,2020-05-18,2020-05-25,2020-05-25,2020-06-09
VD-8001,Bug,2020-04-29,2020-05-05,,,2020-05-05
VD-7996,Story,2020-05-13,2020-05-27,2020-05-28,2020-06-01,2020-06-01
VD-7995,Story,2020-04-29,2020-05-26,2020-05-26,2020-05-26,2020-05-26
VD-7993,Story,2020-04-30,2020-05-18,2020-05-19,2020-05-25,2020-05-29
VD-7992,Task,2020-04-28,2020-04-28,2020-04-30,2020-04-30,2020-05-04
VD-7991,Bug,2020-04-28,2020-04-29,,2020-05-27,2020-06-02
VD-7990,Bug,2020-04-28,2020-04-29,2020-05-20,,2020-05-20
VD-7989,Story,2020-04-29,2020-06-18,2020-06-24,2020-06-24,2020-07-07
VD-7988,Bug,2020-04-28,2020-04-29,2020-05-05,,2020-05-05
VD-7987,Bug,2020-04-28,,,,
VD-7986,Bug,2020-04-28,2020-06-17,,,2020-06-17
VD-7983,Story,2020-04-28,,,,
VD-7982,Story,2020-04-28,,,,
VD-7981,Bug,2020-04-28,2020-05-04,,,2020-05-19
VD-7979,Bug,2020-04-28,2020-04-30,,,2020-04-30
VD-7978,Bug,2020-04-28,2020-05-11,2020-05-15,,2020-06-18
VD-7977,Bug,2020-04-28,,,,
VD-7976,Bug,2020-04-28,2020-05-07,2020-05-14,,2020-05-22
VD-7973,Bug,2020-04-28,2020-05-07,2020-05-08,,2020-05-18
VD-7971,Task,2020-04-28,2020-07-07,2020-07-08,,
VD-7970,Story,2020-04-28,2020-05-13,2020-05-20,2020-05-26,2020-05-26
VD-7966,Task,2020-04-28,2020-04-30,2020-04-30,2020-04-30,2020-05-12
VD-7965,Task,2020-04-28,,,2020-05-18,2020-05-22
VD-7963,Story,2020-04-28,,2020-06-04,2020-06-08,2020-06-09
VD-7961,Story,2020-04-28,2020-05-05,2020-05-07,2020-05-19,2020-05-22
VD-7960,Bug,2020-04-27,2020-04-28,2020-04-29,2020-04-29,2020-05-01
VD-7959,Bug,2020-04-27,,,,
VD-7953,Bug,2020-04-27,2020-04-28,2020-04-29,,2020-04-30
VD-7952,Story,2020-04-28,2020-05-05,2020-05-21,,2020-05-29
VD-7951,Bug,2020-04-27,2020-05-15,2020-05-20,,2020-05-29
VD-7945,Story,2020-04-27,,,,
VD-7934,Task,2020-04-28,2020-05-22,2020-05-26,,2020-05-29
VD-7933,Task,2020-04-28,2020-04-29,2020-05-04,2020-05-12,2020-05-12
VD-7932,Story,2020-04-27,2020-05-11,2020-05-11,2020-05-12,2020-05-12
VD-7926,Story,2020-04-28,,,2020-05-06,2020-05-22
VD-7925,Story,2020-04-30,,,,
VD-7924,Task,2020-04-28,,,,
VD-7923,Task,2020-04-27,,,,
VD-7920,Task,2020-04-29,2020-05-11,2020-05-12,2020-05-12,2020-05-20
VD-7919,Bug,2020-04-25,,,,
VD-7918,Bug,2020-04-25,,2020-04-27,,2020-04-27
VD-7917,Bug,2020-04-25,,,,
VD-7916,Story,2020-04-27,,,,
VD-7915,Bug,2020-04-24,2020-05-12,2020-05-19,,2020-05-19
VD-7914,Bug,2020-04-24,2020-05-26,2020-05-26,,2020-05-26
VD-7913,Bug,2020-04-24,2020-04-30,2020-05-05,,2020-05-05
VD-7912,Bug,2020-04-24,2020-04-29,2020-04-29,,2020-04-29
VD-7910,Bug,2020-04-24,2020-05-04,2020-05-05,,2020-05-05
VD-7909,Bug,2020-04-24,2020-04-27,,,2020-04-30
VD-7904,Task,2020-04-24,2020-04-28,2020-05-04,2020-05-12,2020-05-12
VD-7903,Story,2020-04-24,2020-04-28,,2020-04-28,2020-05-05
VD-7902,Bug,2020-04-24,2020-04-24,,,2020-04-27
VD-7901,Task,2020-05-05,2020-05-06,,2020-05-06,2020-05-12
VD-7897,Bug,2020-04-24,,,,
VD-7896,Story,2020-04-24,2020-04-28,2020-05-04,2020-05-06,2020-05-12
VD-7895,Story,2020-04-23,2020-04-28,2020-05-04,2020-05-06,2020-05-12
VD-7891,Bug,2020-04-23,2020-05-28,2020-05-29,,2020-05-29
VD-7890,Story,2020-04-28,,,2020-04-28,2020-05-05
VD-7889,Story,2020-04-23,2020-04-27,,2020-04-27,2020-04-28
VD-7888,Bug,2020-04-23,2020-04-28,2020-05-04,,2020-05-04
VD-7885,Bug,2020-04-23,2020-04-24,2020-05-15,,2020-05-16
VD-7884,Bug,2020-04-23,2020-04-28,2020-05-05,,2020-05-05
VD-7879,Story,2020-04-28,2020-05-20,2020-05-25,2020-05-25,2020-05-26
VD-7878,Story,2020-04-23,,,,
VD-7877,Story,2020-04-23,,,,
VD-7873,Bug,2020-04-23,2020-04-29,2020-04-29,,2020-04-29
VD-7871,Task,2020-04-23,2020-04-24,2020-05-08,,2020-05-08
VD-7870,Bug,2020-04-23,2020-04-28,2020-05-05,,2020-04-28
VD-7869,Bug,2020-04-23,2020-04-23,2020-05-05,,2020-05-18
VD-7868,Task,2020-04-23,2020-04-24,2020-04-24,2020-04-24,2020-05-04
VD-7866,Bug,2020-04-23,2020-04-27,2020-05-05,,2020-05-08
VD-7865,Bug,2020-04-23,,,,
VD-7864,Task,2020-04-30,2020-05-07,2020-05-11,2020-05-11,2020-05-12
VD-7863,Bug,2020-04-23,2020-04-23,2020-05-16,,2020-05-16
VD-7862,Bug,2020-04-23,,,,2020-04-24
VD-7861,Bug,2020-04-23,2020-04-23,,2020-04-24,2020-04-24
VD-7859,Bug,2020-04-22,2020-04-27,2020-04-28,,2020-04-28
VD-7858,Bug,2020-04-22,,,,
